Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",app can read contact to read your contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",you can assign ringtone to your contacts or contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",read contact to your contacts and set ringtone for contact,CONTACT,,,
"READ_CONTACTS, WRITE_CONTACTS: for internal use for the purpose of assigning ringtone to desired contact ",save photo and ringtone for your contacts,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts ",this app read contact and you can set contact ringtone,CONTACT,,,
"Set  as  a  ring  tone,  SMS  notification  alert,  alarm  sound  or  assign  it  to  specific  contacts ",app will use read contact permission to set ringtone and as notification alert notification,CONTACT,,,
camera search looks up words in the camera view,app uses camera permission to open camera,CAMERA,,,
"take pictures of damaged vehicles or doodle leaks, repairs, collision to be approved, or anything on the vehicle that requires to be fixed ",take photo with your camera,CAMERA,,,
make photos with camera or select existing image,open camera to take photo or take from gallery,CAMERA,,,
camera: to let you capture and send payment transfer receipt,this app will use camera of your device,CAMERA,,,
application features: different photo frames support the front and rear camera,access device camera you can select front or rear camera,CAMERA,,,
access front or back camera,access device camera you can select front or rear camera,CAMERA,,,
"in order to use bar code scanning in this application, your device must have an auto-focus camera ",open camera to scan qr code or barcode using device camera,CAMERA,,,
"snap photos of everything you want to sell, add a price to each photo and share those online.",open camera to take photo or take from gallery,CAMERA,,,
camera is used for scanning qr codes stickers for parking,access your camera you can scan qr code or barcode,CAMERA,,,
this app helps you to take pictures of moving objects and to choose the best photo,this app will use camera to take picture,CAMERA,,,
"select photo from gallery or take photo via camera, you can also set white balance, differenct effects ",take photo with the camera and take photo from gallery,CAMERA,,,
our app needs access to camera to capture and edit your photos,this app will use your camera to take photos,CAMERA,,,
camera is used for qr code recognition function,access your camera you can scan qr code or barcode,CAMERA,,,
take a new love photo with your camera and apply a romantic photo frame to it,open camera to take photo or take from gallery,CAMERA,,,
this application allows you to take pictures of the product,take photo with your camera,CAMERA,,,
access camera to take photo,take photo with the camera and take photo from gallery,CAMERA,,,
access to your camera to take photo,take photo with your camera or take from gallery,CAMERA,,,
use camera to take photo,this app will use your camera,CAMERA,,,
point your device's camera to the wild animal images printed on your binder or notebook cover and you will see them come to life,app use your camera you can use camera,CAMERA,,,
take a picture with camera menu,open camera to take photo or take from gallery,CAMERA,,,
scan and redeem coupons using your phone’s camera,this app will use your camera,CAMERA,,,
Access device camera,the app use camera permission to use camera,CAMERA,,,
Camera overlay for recording,access camera app can use your device camera,CAMERA,,,
scan with your camera,this app uses your camera you can scan qr code and barcode with your camera,CAMERA,,,
take your photos from your gallery or from the camera,open camera to take photo or take from gallery,CAMERA,,,
you can take photos of your receipts and invoices,take photo with your camera,CAMERA,,,
select a camera resolution that would fit your desired quality and your phone memory,open camera to take photo or take from gallery and save photo to your device storage,CAMERA,,,
you can choose a photo from the gallery or you can take a photo with the camera,you can take photo with your camera or take from phone gallery,CAMERA,,,
produces regular flashes of light using camera flash led,app use camera permission you can use to flash light of your camera,CAMERA,,,
select picture from your gallery or capture new on from camera,take photo with the camera and take photo from gallery,CAMERA,,,
camera is used to allow the user to use the device's camera to take a new picture to their profile picture,take pictures using your camera or you can select from gallery set as your profile photo,CAMERA,,,
"it provides multiple functionalities, including real-time live view, video recording ",this app use camera and microphone of your device,CAMERA,,,
access device camera,open camera to take photo or take from gallery,CAMERA,,,
home scan feature allows you to search for properties using a live camera view,access your camera,CAMERA,,,
capture a new image with your camera and apply an anniversary picture frame,open camera to take photo or take from gallery,CAMERA,,,
"take a picture by camera or select from gallery, apply your favorite effects ",take photo with camera or take from gallery and you can add effect and filter to save,CAMERA,,,
taking a burst of pictures,the app use camera permission to take pictures,CAMERA,,,
easy to use beauty camera,take pictures and you can add filters and effects on your selfie,CAMERA,,,
need access camera of your device,app will use your camera,CAMERA,,,
this app uses your camera feature to let you send and upload photos,take photos with your device camera or select photos from gallery,CAMERA,,,
request camera to access the flash light,you can use flash light of camera of your device camera,CAMERA,,,
monitor your heart rate accurately using the mobile's camera and flash,app use camera permission to use flash light of your camera you can get heart rate,CAMERA,,,
"By downloading the game gives you access to the camera, which allows you to see the bird and photograph it! ",this app will use camera permission of your device,CAMERA,,,
"After the application start-up, to take a face or a pet in the smartphone camera. Photos taken will be to sketch ",open camera to take photo,CAMERA,,,
camera: app needs this permission to take photos when you choose to upload a photo via camera,take photo with camera or take from gallery,CAMERA,,,
the image will be loaded from the camera,open camera to take photo or take from gallery,CAMERA,,,
pick images from gallery or take photo from camera,take pictures with camera and take from photo gallery,CAMERA,,,
choose a photo from the gallery or take one using your camera and apply the frame template,open camera to take photo or take from gallery,CAMERA,,,
easy camera and videoㆍscreen touch shooting and selfie taking,take photo with camera or you can select photo from gallery,CAMERA,,,
take pictures use the camera and apply awesome stickers on it,the app uses camera of your camera to take photos,CAMERA,,,
select a picture from your gallery or take a picture with your camera,open camera take pictures or select pictures from gallery,CAMERA,,,
Quick access device camera,this app will use your microphone and camera,CAMERA,,,
apply real time effects and take photos with your camera,take photo with the camera and take photo from gallery,CAMERA,,,
access camera to apply transparent live wallpaper to your screen,this app will use camera permission,CAMERA,,,
barcode scanning through mobile camera,app use your camera you can use camera to scan qr code and barcode,CAMERA,,,
browse existing photo from your phone picture gallery or take a photo by camera,open camera to take photo or take from gallery,CAMERA,,,
build the simplest face photo prank save photos to gallery!,the app use your device camera to take pictures,CAMERA,,,
"Our App will store & maintain all your Invoices with Date and Amount Details Just Click Photos of your Invoices, Add Amount & Tax Info ",save photo to your phone gallery,STORAGE,,,
"This App allows you to Listen, Read and Download MP3 and Book ",you can download mp3 to your device,STORAGE,,,
record and save audio bible to your device.,download and save mp3 to your storage,STORAGE,,,
"Once you have finished using the photo editor with stickers, save your framed photos to the photo frame gallery ",save photo to your phone gallery,STORAGE,,,
"Multiple selection of photo to move, delete & copy paste files ",access to storage you can save delete photos and files,STORAGE,,,
"download different puzzles and enjoy the fun, Save all puzzles in progress – work on all of them at the same time! Use PAUSE button if you want to see the whole picture, or to save your progress! ",download files to your storage,STORAGE,,,
Save  your  contacts'  details  to  external  storage  in  vCard  format.,save photos and contacts to your phone storage,STORAGE,,,
"edit your baby photos with frames and text, save them to gallery or share on the social media.",save photo to your phone gallery,STORAGE,,,
you can download keyboard themes using our app.,download files to your phone storage,STORAGE,,,
Free “Islamic Quotes For Muslims” is a collection of beautiful Islamic quotes Download Islamic Quotes Wallpapers,this app will download files to your phone,STORAGE,,,
download free ringtones for your device.,download ringtones to your phone,STORAGE,,,
Uploading a photo with your report also helps the City staff quickly identify the problem,access phone storage,STORAGE,,,
"Save your verses, chapters and podcasts in the bookmarks option ",download book,STORAGE,,,
Save the image to the phone’s gallery using this hair styler app,save photo to your phone gallery,STORAGE,,,
"• Save news to read later in your own personal reading list, you can also select offline reading for your saved news ",download pdf for offline use,STORAGE,,,
"create video clips and save them to the gallery, select video clips from camera roll and add a music.",app save video to your phone gallery,STORAGE,,,
"For all tours detailed information is stored:• Key Facts (length, altitude, duration, difficulty)• Detailed descriptions including images ",save photo to your phone gallery,STORAGE,,,
"Shoot, save and share short music story ",download mp3 to your phone,STORAGE,,,
"Hurry up, download Photo Filters Color Effects and start the best picture editing of your life ",open camera to take photo or you can select from phone gallery,STORAGE,,,
"""Photo Where"" stores pictures in his gallery (PhotoWhereGallery folder on the SD card if present otherwise the phone memory) from which you can easily transfer  to your PC.",save photo to your phone storage,STORAGE,,,
"Save your art in your phone gallery Images created with Pixel Photo Effects can be saved to your photo library, shared with your friends, set as your wallpaper or shared on any social networking site ",save photo to your phone gallery,STORAGE,,,
"Backup  and  restore  contacts,  photos,  videos,  calendars,  texts  and  documents  (including  .doc,  .pdf,  .zip  and  more)  with  a  single  tap.",save contact to file,STORAGE,,,
Watch stream online or download classes.,download mp3 to your phone storage,STORAGE,,,
you can download free bible quotes wall papers using our app,download books,STORAGE,,,
"store and access your pictures, videos ",save your photo and video to your phone gallery,STORAGE,,,
"Access your account, place holds, renew items, and select eBooks and audiobooks for download.",access your phone storage you can download book,STORAGE,,,
photos are saved in device storage.,save photo to your phone storage,STORAGE,,,
The app automatically backup contacts to device storage.,save photo and contacts to your phone storage,STORAGE,,,
"Download love calculator, put your love to a test and see if he is elected and save the result as image to the gallery.",save photo to your phone gallery,STORAGE,,,
"Finish off with your favorite photo effect and filter and you are done! You can store your ""Love scrapbooking"" in your gallery and use it as love wallpaper or share with all your friends on major social networks ",save photo to your phone gallery,STORAGE,,,
"See live satellite location, share your current address, find best routes and save route tracks in history ",access location and gps data,STORAGE,,,
Download this wallpaper and enjoy the Fun,you can download wallpaper,STORAGE,,,
You can download the tours but Preload easily downloaded from the Internet and use offline,download file as pdf format in your phone,STORAGE,,,
"You can download and print it, or you can scan it directly from the screen and save image to gallery. ",save photo to your phone gallery,STORAGE,,,
Save your favorite tv shows and episodes,download files to local cache,STORAGE,,,
download best sms ringtones here for free,download ringtones for your device,STORAGE,,,
Download Backgrounds (HD wallpapers) to stylize your device's home screen and make it unique,download wallpapers for your device,STORAGE,,,
Game data is stored on your device,app will use your storage,STORAGE,,,
"save business card with details, exchange with partners, update card in any time. ",save file to storage,STORAGE,,,
Get  these  free  music  ringtones  for  Android  ringing  and  free  download  awesome  ringtones  that  will  rock  your  body!,download ringtones for your device,STORAGE,,,
download scary halloween ringtones for free,download ringtones for your device,STORAGE,,,
"this app  stores  your  contacts  locally  in  a  compressed  CSA  file  format,  including  profile  images  in  their  original  size. ",save photo and contact to your device,STORAGE,,,
"qr code will be stored, and you can remove all qr code from history. ",use camera to scan saved qe code,STORAGE,,,
sync everything to storage for offline use.,download file to storage,STORAGE,,,
Now  you  can  get  PDF  backup  of  almost  everything,save file as pdf format to your storage,STORAGE,,,
read  &  write  audio  files  on  your  device.  files  will  be  saved  in  sdcard/media/audio  folder. create new ringtones or delete existing files,this app will use storage permission to save files in your device,STORAGE,,,
"You  can  now  store  any  external  files  attached  to  items  (appointments,  notes,  tasks,  etc.) Backup  EssentialPIM  data  to  your  device  or  to  any  online  service.  Restore  the  backup  data  with  ease  onto  the  existing  or  any  other  Android  device. ",download file to your device,STORAGE,,,
"select your favorite ringtones, download them for free ",download ringtone for free,STORAGE,,,
"Save files from dropbox, google drive. Build-in  file  manager  for  opening  projects  from  SD  card  and  internal  storage ",download files to your storage for offline use,STORAGE,,,
"Take  a  photo  of  your  business  card  -  the  snapADDY  Business  Card  Scanner  recognizes  the  image  section  and  automatically  extracts  a  new  contact  from  it  in  the  app. You  can  also  save  other  attachments,  notes  or  the  photo  of  the  back  of  the  business  card  in  the  app  for  a  later  export.",this app will use camera you can take photo and save photo to your phone storage,STORAGE,,,
download  ringtones  and  mp3  ringtones  for  your  Android  device,download ringtone mp3 for your device,STORAGE,,,
"If  you  are  tired  of  the  old  standard  ringtones  and  SMS  sounds,  download  Quran  Mp3  Ringtones. ",download ringtones for free to your device,STORAGE,,,
"Restoring  or  changing  contacts  from  the  spreadsheet  is  as  simple  as  uploading  the  file  to  your  phone  via  USB,  email,  Dropbox,  Google  Drive  or  Box.  It  couldn't  be  easier.",save contact details to your device,STORAGE,,,
download ringtones and mp3 ringtones for your Android device,download ringtone download for your device,STORAGE,,,
Allows  an  application  to  write  to  external  storage.  used  in  application  to  save  Contacts  on  your  phone  as  file.,save your photo and contact to your phone storage,STORAGE,,,
We  read  user  contact  data  regularly  to  download  video/voicemails  from  your  friends  in  contacts.,download video for to to your device,STORAGE,,,
"Ringtone  maker  and  ringtone  downloader  with  “funny  ringtones”, save the ringtones and use them as sms alert, notifications and so on.",download ringtone and set as notification alert and sms ringtone,STORAGE,,,
"It  is  meant  to  store  your  phone  contacts  in  a  more  readable  file  so  that  it  can  be  printed  later  on  on  a  Printer,  for  instance.",the app can read contacts or contact,STORAGE,,,
"Cut,  copy,  move,  paste,  delete  multiple  items  using  the  integrated  explorer  of  this  application ",access your file storage you can select and delete file from your storage,STORAGE,,,
you can export your contacts to a local file.,this app will use read contact permission you can use can save contact to pdf to device storage,STORAGE,,,
"Store  your  frequently  used  data,  access  them  instantly  and  utilise  them  efficiently.",save files to your storage,STORAGE,,,
hurry  to  the  market  and  download  this  free  collection  of  “Islamic  ringtones  and  sounds” and download amazing ringtones for free,download ringtones for your device,STORAGE,,,
"The  best  top  songs  can  easily  be  yours  now,  just  hit  the  download  button!",you can download song mp3 to your device for offline use,STORAGE,,,
"This  app  requires  storage  permission  to  provide  you  some  functionalities  like  hide/unhide  files,  delete and add  files,  share  files  as  per  your  action  taken. ",this app will access your storage,STORAGE,,,
Download  SMS  Ringtones  and  Sounds  for  Android  app  and  enjoy  the  best  SMS  Ringtones  and  Sounds  for  Android  and  free  message  tones.,download ringtones for your device,STORAGE,,,
download these horror ringtones for free and enjoy,download ringtones for your device,STORAGE,,,
READ_EXTERNAL_STORAGE & WRITE_EXTERNAL_STORAGE This permission is necessary because app need read your music file and save ringtone file on sd card,this app read files in storage and you can download ringtone to your device,STORAGE,,,
"Photos files are accessible over USB - photos stored in ""DCIM-KidCamera"" folder in root of phone's external storage ",save your photo to your device storage,STORAGE,,,
Select your photo from gallery or capture new photo Suit,take photo with your camera or take from phone gallery,STORAGE,,,
Two options to save the recorded video data:Option 1: Cache the recorded video data into TF card or phone internal storage by temp files,download video to device cache,STORAGE,,,
Select a photo from the gallery or take photos using the phone or tablet camera,take photo with your camera or take from phone gallery,STORAGE,,,
Select a photo from the gallery or take photos using the phone or tablet camera,open camera to take photo and take photo from gallery,STORAGE,,,
Share your snowman on Facebook or save as file to use as a card & send to your friends to brag about your snowman,download file to your device,STORAGE,,,
The database can be on the internal memory or external storage,store data file to your phone storage,STORAGE,,,
"Delete useless Android system files, large files and app caches for an instant speed boost ",this app will use storage permission,STORAGE,,,
"permission WRITE_EXTERNAL_STORAGE After you save a new Ringtone, the APP need rights to write it to your SD card ",download ringtones for your device,STORAGE,,,
Save separate status image and video,save photo and video to your phone gallery,STORAGE,,,
choose a photo from the gallery or take a photo with the camera,take photo with your camera or take from phone gallery,STORAGE,,,
Select mp3/music from your mobile or Recordings,this app read files from your storage,STORAGE,,,
"Manage files in the storage memory, Delete all data from the internal or external storage memory, all of data are un-recoverable ",the app use read storage permission,STORAGE,,,
"Access your photos, media, and files on your device  : Used to save and load game play data ",this app will access your device storage and save file to your device storage,STORAGE,,,
"This app needs this permission to load external ringtones, This app needs this permission to save pictures taken by users who are using the photo mission ",save photo to your device storage,STORAGE,,,
Modify or delete the contents of your USB storage: to delete media files and thumbnails when receiving user action,this app use use storage permission you can delete files on your storage,STORAGE,,,
permission WRITE_EXTERNAL_STORAGE Save the capture photos and videos,save photo to your device storage,STORAGE,,,
"Large File function suggest deleting large files to free up storage, organize your storage space better ",you can can delete files and and clean your storage space of you phonne,STORAGE,,,
Be able to save different version of your artwork for the same sketch and revisit later!,save files to phone storage,STORAGE,,,
"Decorate your photos with your Pics then apply the frame that you like and you can save the photo, share with friend ",open camera to take photo or you can select photo from phone gallery,STORAGE,,,
Permissions that we use: WRITE_EXTERNAL_STORAGE: to store user ringtones,download ringtones to your device storage,STORAGE,,,
Save your delicious creation in your gallery or camera roll,you can save your photo to your phone gallery,STORAGE,,,
Save your delicious creation in your gallery or camera roll,save photo to device gallery,STORAGE,,,
View all your photos on the phone,open photo in your phone gallery,STORAGE,,,
Browse files and folders in storage,app will access your storage,STORAGE,,,
"Large File function suggest deleting large files to free up storage, organize your storage space better ",this app can remove file of your storage storage and you you can free device storage space,STORAGE,,,
It will create amplified versions of them in the Music folder on your SD card (or external storage),save mp3 files to your storage or sd card,STORAGE,,,
"Optional permissions Storage: Used to save or load health eating supported information, such as  photos or food photos ",save photos to your storage,STORAGE,,,
Just a tool for users save their media,you can save your photo and video files to your phone gallery,STORAGE,,,
"Large File function suggest deleting large files to free up storage, organize your storage space better ",app will delete large file to clean your storage space,STORAGE,,,
Select the path to save photos and videos More easy and useful functions are included in this free HD camera app,you can set a path and save files to destination folder,STORAGE,,,
"Share: send your robot, chipmunk, nervous or any other through your favorite chat app, save as ringtone, save to gallery, etc ",save your photo to phone gallery,STORAGE,,,
clean junk for more storage space,app will delete files to clean your storage space,STORAGE,,,
"You could compose a memo, take a photo or apply a picture from your gallery and share with others ",take pictures using camera or take image from gallery,STORAGE,,,
Required Permissions: storage - to save data on phone,this app will use storage permission to save files,STORAGE,,,
"With the image you can save the whole image, share the full image, or just save the image with the removed background ",you can save image to your device storage,STORAGE,,,
You can save the audio and use so offline,download mp3 to your device,STORAGE,,,
Move your recordings to an SD card and use it a default save location,you can set a path on your storage and save file in the folder,STORAGE,,,
SD card storage -- for storing the complementary phone camera pictures on SD card,save your photo to storage or sd card,STORAGE,,,
"Choose Image either from gallery or Camera, Save image to your SD Card ",open camera to take photos and take photo from gallery save to the the gallery,STORAGE,,,
Permission External storage : save and store your googly selfie,this app will use storage permission to save file,STORAGE,,,
"The photos/media/files permission is required to allow the game to save game data to external storage, and is sometimes used to cache ads ",this app use storage permissionn to save file to storage,STORAGE,,,
"If you are a professional photographer, HD Panorama will allow to save the input frames captured, and stitch and possibly adjust them on your personal computer ",this app use storage permission to save photo,STORAGE,,,
Save and view map images for the later reference by using included file explorer and image/text viewer,download files to your storage for offline use,STORAGE,,,
While you can preview events in the a Calendar Store app you need to purchase a yearly subscription to sync to your Android calendars (free 60 minute test available),app will add to your calendar,CALENDAR,,,
"Contacts/Calendar, so Offi can route you to your contacts or location from a calendar event, store a connection in your calendar or e-mail it to your friends ",this app will use read calendar permission,CALENDAR,,,
"Contacts/Calendar, so Offi can route you to your contacts or location from a calendar event, store a connection in your calendar or e-mail it to your friends ",app use read contact permission to read your contact,CONTACT,,,
Select mp3/music from your mobile or recordings,this app uses your microphone,MICROPHONE,,,
You can even record live audio and this MP3 editor can edit and trim the best parts from it,the app use microphone to record live audio sound,MICROPHONE,,,
You can even record live audio and this MP3 editor can edit and trim the best parts from it,this app will use your microphone,MICROPHONE,,,
Make your note/diary awesome with images/videos/audios,you can record your voice with device microphone,MICROPHONE,,,
Make your note/diary awesome with images/videos/audios,the app use microphone permission to to you can use to record your voice,MICROPHONE,,,
It is a smart sound recorder,this app use microphone permission to record sound,MICROPHONE,,,
You can use the microphone to test the words in the image,record microphone support,MICROPHONE,,,
"Can record video and take pictures in the background, even turn off screen ",this app will use camera and microphone permission,MICROPHONE,,,
This application needs to access the microphone to get the pitch you are playing or singing,record your practice using device microphone,MICROPHONE,,,
Record your voice using the built-in microphone,app use microphone you can use to record your voice,MICROPHONE,,,
Record an audio/music for editing,this app will use microphone permission,MICROPHONE,,,
The sound meter app uses your microphone to measure noise volume in decibels(dB),the app use your microphone,MICROPHONE,,,
"Change your voice in real-time after recording -- this voice processor makes your voice sound like a robot, an alien, a baby and many more ",record your voice using microphone of your microphone,MICROPHONE,,,
"Change your voice in real-time after recording -- this voice processor makes your voice sound like a robot, an alien, a baby and many more ",app use microphone and to you can record your voice,MICROPHONE,,,
HD Video recording,access microphone the microphone of your device,MICROPHONE,,,
Permission to record with microphone for visualization,this app use microphone of your device,MICROPHONE,,,
"This is required if your program uses the camera, Bluetooth, audio record, etc ",app will use microphone permission,MICROPHONE,,,
"Owing that performance of the microphone will be different for each device, so calibration is needed before use ",this app need access your micophone,MICROPHONE,,,
Sound detection mode,record microphone support,MICROPHONE,,,
It can record audio from mic as well during screen record,the app you to use your microphone,MICROPHONE,,,
"On Android, your child can view pictures, practice pronunciation compared to recording, learn pictures, and play a memory game ",this app will use microphone,MICROPHONE,,,
A very straightforward app that simply transcribes what's spoken to it,you can record your voice using microphone,MICROPHONE,,,
"Displays sound as a stream of color (live, microphone input) ",app use microphone microphone microphone,MICROPHONE,,,
Speak; record and listen your words,this app use microphone permission you can use to record your voice,MICROPHONE,,,
Record some fun words or phrases,app can record audio data,MICROPHONE,,,
"Easily raise your voice by singing or whistling while your draw, and watch the brush gets thicker or thinner, depends on how loud you are ",this app use microphone permission,MICROPHONE,,,
Record directly from your Android device,record microphone support,MICROPHONE,,,
This app plays the sound from the devices microphone through the headphones with a configureable delay,use microphone to record sound from your microphone,MICROPHONE,,,
SoundCheck evaluates your phone's audio capabilities for playback and recording,this app use microphone,MICROPHONE,,,
Display any sort of audio from the microphone as a coloured spectrogram,the app can record audio sound using microphone,MICROPHONE,,,
So funny recorder you will not stop recording yourself,app you use your device microphone,MICROPHONE,,,
"Change your voice in real-time after recording this voice processor makes your voice sound like a robot, an alien, a baby and many more ",record your voice using microphone of your device,MICROPHONE,,,
record sound from microphone,this app uses microphone permission to record,MICROPHONE,,,
"Record videos or take photos, is up to you ",this app use camera and microphone permission,MICROPHONE,,,
"HD filters Camera  is a fully-featured free Camera app, with Quick Snap and HD videos ",app uses camera permission to use camera,MICROPHONE,,,
The most technically advanced call recorder,access device microphone microphone,MICROPHONE,,,
Record your own sounds / voice and combine them into one big symphony with this looper / loop station,the app uses microphone permission to record your voice,MICROPHONE,,,
Both the microphone and the speakers can serve as audio input for the relevant patterns,record microphone support,MICROPHONE,,,
The application is suitable for practicing sounds in words and sentences,this app uses microphone,MICROPHONE,,,
The program will record your voice and then you can compare your pronunciation with a native speaker,you can use microphone to record your voice,MICROPHONE,,,
Voice Command Mode: take photo by voice command,this app uses camera and microphone,MICROPHONE,,,
Instant voice record playback,app will use microphone permission to record audio data,MICROPHONE,,,
"The sound recorder provides extra-long recordable time, and you can suspend the recording at any time ",this app use microphone of your device microphone,MICROPHONE,,,
the app uses gps to identify your location and also allows you to snap a photo or video to add to your service request,access your gps data to get current location,LOCATION,,,
access your location to provide ad service,access location information to get nearby ads,LOCATION,,,
access your current location to get nearby car rental positions,this app use your location information,LOCATION,,,
get gps location details,access location and gps data,LOCATION,,,
"access vehicle location, speed ",this app can get your current location and speed,LOCATION,,,
location: to help you find trips near you and providing maps,the app use location data,LOCATION,,,
all the messages are displayed on a live map with the exact location that they were sent,access location and gps data,LOCATION,,,
"feature supported by the precise location via gps, the position of the employees can be easily followed ",you can track location via gps data,LOCATION,,,
share your location with a checkin and see friends nearby,the app read contact to read contacts,LOCATION,,,
access your current location and get weather forcast.,get local weather in your location,LOCATION,,,
"in the application, you will find the locations of attractions, shows, restaurants, shops and services, navigate to the park plan ",access your location information,LOCATION,,,
real-time location tracking for field workers,app use gps data to track your location,LOCATION,,,
access your location  part of the maps/gps functionality,access location and gps,LOCATION,,,
remember to activate push notifications and geolocation,app read your location data,LOCATION,,,
find near-by properties by geo-location requires gps enabled device,this app can search nearby location using gps data of your device,LOCATION,,,
"display your current location, and share your current location on social network. ",access location and gps data,LOCATION,,,
find a safeway pharmacy near you by entering your zip code or using your current location,search using zip code or your location data,LOCATION,,,
customize the weather forecast for your community and other locations that interest you+ receive severe weather alerts at your location,you can get weather forecast near your location your location information,LOCATION,,,
location information is used for location based searches,access location and gps,LOCATION,,,
share your location,access your location and gps data,LOCATION,,,
share your location,the app will access your location and gps information,LOCATION,,,
"the location of each post, photo and video posted is logged via gps and made available to other runners to join in on the fun!",track your location via gps data,LOCATION,,,
find nearest vital locations,access your location and gps data,LOCATION,,,
app connects the drivers around your current location,this app use your location information to find nearby service,LOCATION,,,
"location based mute, turn the sound off when you go to the cinema or church ",access your location and location mute sound in church and cinema,LOCATION,,,
"along with navigation on the app, you can also find locations of different places around you ",access location and gps data to provide map navigation,LOCATION,,,
get the location when you take the picture,the app uses camera and camera to take photo and location,LOCATION,,,
"view the itinerary or event interactive maps with geo location and calculate routes to reach the points indicated in the different modes: auto, pedestrian or bike from your location ",get your location and set destination,LOCATION,,,
"the app is location-based and real-time, offering a map-based interface to the data available and the air quality in your neighbourhood ",the app access location permission,LOCATION,,,
location or the gps tracking function enable routing to and from the current location,this app can track your location via gps,LOCATION,,,
get your current location,access your location information,LOCATION,,,
access your current location,access your location and gps informtaionn,LOCATION,,,
"gps location is shown on maps during office hours, know where your staff is ",this app track your location using gps data,LOCATION,,,
see what's happening on your routes or around your current location,search nearby events using location information,LOCATION,,,
update car location,access location gps informationn,LOCATION,,,
easily choose your locations to get hourly conditions and 7-day weather forecasts,get local weather forecast based on your location,LOCATION,,,
"the app can detect your location, turn light on when your almost at home ",get you current location and calculate distance from home,LOCATION,,,
application features: geolocation,access location and location information,LOCATION,,,
tap on map icon on cinema list to get it's exact location,get distance from your current location location,LOCATION,,,
find nearby restaurants based on your current location,access your location data and get nearby service,LOCATION,,,
live tracking stream your location,this app can track your location via gps,LOCATION,,,
places gallery makes your picture browsing experience easier by auto grouping your photos by location,app can can use location and location data,LOCATION,,,
"through an interactive map system that detects your location providing not only the nearest stops, but all the lines that pass through each one of them ",access your location data and get nearby service,LOCATION,,,
location permission is required to deliver more relevant ads for players,access location and gps data to get location based service,LOCATION,,,
this app uses location services to display guests’ position on the map,this app use location information,LOCATION,,,
track gps based activities,the app use use location data track location using gps,LOCATION,,,
automatic location using gps with automatic update,access location and gps data,LOCATION,,,
use your location to automatically take useful actions while you're out,this app use location permission to track your location,LOCATION,,,
track vehicle locations,access your location and track location via gps,LOCATION,,,
save and track fishing locations- find saved locations with gps navigation system,the app use location data and location,LOCATION,,,
track your gps location information,this app uses location information to track you location via gps,LOCATION,,,
receive and update drive location,access location and gps,LOCATION,,,
get your current location and send it via sms,access location and gps information,LOCATION,,,
bus tracking - know the exact location of the bus in which your child is travelling in real time on a map,access location and gps data to track location on map,LOCATION,,,
premium navigation features turn-by-turn voice directions find places save and edit favorites locations  current location information,use location and gps data you can set destination and get direction,LOCATION,,,
stay connected to local news,access location data to get nearby service,LOCATION,,,
get real time location,access location and gps data,LOCATION,,,
get your taxi with a click and using gps,the app use gps data of your device,LOCATION,,,
find atms or bank branches closest to your location on the map,this app use your location and gps,LOCATION,,,
"search for cafes, restaurants, theatres and even hospitals with carefully organized location data ",access your location and gps data you can get nearby service,LOCATION,,,
find your nearest tcby location,access location and gps data,LOCATION,,,
we use geolocation so you don't have to enter your address,access location and gps data,LOCATION,,,
displays your exact location,this app use your gps data,LOCATION,,,
Employee location tracking: track gps location,access location to track location via gps,LOCATION,,,
"Securely backs up contacts, messages, call logs to Bkav Cloud or SD Card ",save contact and sms to storage or sd card,CONTACT,,,
read sent and received SMS messages,this app uses read sms permission,CONTACT,,,
"app can help you manage ringtone of contacts , assign different ringtone to each contact ",set ringtone to contact,CONTACT,,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",download ringtone and set as notification alert sms ringtone or contact ringtone,CONTACT,,,
"Set the new clip as default ringtone or assign to contacts, using this editor ",this app uses read contact permission,CONTACT,,,
Customize specific tunes for individual contacts or allow the app to set randomized tunes from your playlist for all outgoing calls,save contact to your phone contact list,CONTACT,,,
assign ringtones to your contacts,set ringtone to contact,CONTACT,,,
Mark important calls and filter them for quick access;- Call back and open contacts right from the app,this app use read contact permission to read contact,CONTACT,,,
"If you share a contact, a vCard will be generated on the fly ",save contact to file,CONTACT,,,
Make your life simple by scanning cost documents,this app use camera,CAMERA,,,
The smartphone camera captures a picture through single vision or progressive lenses and the app computes the refractive data in seconds,take picture with camera,CAMERA,,,
"Go ahead, take a Picture alone or accompanied and place within the selected background ",open camera to take pictures,CAMERA,,,
"Quickly measure the heights of buildings, trees, stomp rocket flights, etc, by first pointing the camera at the objects ",this app use camera permission to use camera,CAMERA,,,
With LiveTrip Traveller you can send live messages and photos during every journey via 3G/4G/WIFI,take photo or video with camera,CAMERA,,,
Barcode scanner,this app use camera to scan qr code or barcode using camera of camera,CAMERA,,,
