Original Description,Synthesized Descritpion,Permission,Semantic Rating,Syntax rating,Length rating
access to your camera to take photo,open camera to take photo,CAMERA,,,
use camera to take photo,this application use camera,CAMERA,,,
point your device's camera to the wild animal images printed on your binder or notebook cover and you will see them come to life,take camera to take the camera,CAMERA,,,
take a picture with camera menu,open camera to take photo,CAMERA,,,
scan and redeem coupons using your phone’s camera,the app uses camera permission,CAMERA,,,
Access device camera,the app use camera and and camera of your device,CAMERA,,,
Camera overlay for recording,get camera device of your camera,CAMERA,,,
scan with your camera,get camera device of your camera,CAMERA,,,
take your photos from your gallery or from the camera,take photo with camera,CAMERA,,,
you can take photos of your receipts and invoices,open camera to take photo,CAMERA,,,
select a camera resolution that would fit your desired quality and your phone memory,this application use camera,CAMERA,,,
you can choose a photo from the gallery or you can take a photo with the camera,open camera to take photo,CAMERA,,,
produces regular flashes of light using camera flash led,the app use camera and and camera of your device,CAMERA,,,
select picture from your gallery or capture new on from camera,take photo with the camera and your camera,CAMERA,,,
camera is used to allow the user to use the device's camera to take a new picture to their profile picture,take photo with your camera,CAMERA,,,
"it provides multiple functionalities, including real-time live view, video recording ",the app uses camera permission,CAMERA,,,
access device camera,open camera to take photo,CAMERA,,,
home scan feature allows you to search for properties using a live camera view,camera access,CAMERA,,,
capture a new image with your camera and apply an anniversary picture frame,the app use camera of your camera,CAMERA,,,
"take a picture by camera or select from gallery, apply your favorite effects ",take picture with camera and your camera,CAMERA,,,
taking a burst of pictures,the application can use use camera and your camera,CAMERA,,,
easy to use beauty camera,this app uses camera permission to take picture,CAMERA,,,
need access camera of your device,the app use camera and and camera of your device,CAMERA,,,
this app uses your camera feature to let you send and upload photos,take picture with camera and your camera,CAMERA,,,
request camera to access the flash light,get camera device of your camera,CAMERA,,,
monitor your heart rate accurately using the mobile's camera and flash,get camera device of your camera,CAMERA,,,
"By downloading the game gives you access to the camera, which allows you to see the bird and photograph it! ",the application can use use camera and your camera,CAMERA,,,
"After the application start-up, to take a face or a pet in the smartphone camera. Photos taken will be to sketch ",the app uses camera permission,CAMERA,,,
camera: app needs this permission to take photos when you choose to upload a photo via camera,open camera to take photo,CAMERA,,,
the image will be loaded from the camera,open camera to take photo,CAMERA,,,
pick images from gallery or take photo from camera,take picture with camera and your camera,CAMERA,,,
choose a photo from the gallery or take one using your camera and apply the frame template,take camera to take the camera,CAMERA,,,
easy camera and videoㆍscreen touch shooting and selfie taking,take camera to take the camera,CAMERA,,,
take pictures use the camera and apply awesome stickers on it,take picture with camera and your camera,CAMERA,,,
select a picture from your gallery or take a picture with your camera,open camera to take photo,CAMERA,,,
Quick access device camera,the application can use use camera and your camera,CAMERA,,,
apply real time effects and take photos with your camera,take photo with camera,CAMERA,,,
access camera to apply transparent live wallpaper to your screen,the app use camera and and camera of your device,CAMERA,,,
barcode scanning through mobile camera,get camera device of your camera,CAMERA,,,
browse existing photo from your phone picture gallery or take a photo by camera,open camera to take photo,CAMERA,,,
build the simplest face photo prank save photos to gallery!,take camera to take the camera,CAMERA,,,
"Our App will store & maintain all your Invoices with Date and Amount Details Just Click Photos of your Invoices, Add Amount & Tax Info ",the app use camera of your camera,STORAGE,,,
"This App allows you to Listen, Read and Download MP3 and Book ",download and download,STORAGE,,,
record and save audio bible to your device.,download ringtone for free,STORAGE,,,
"Once you have finished using the photo editor with stickers, save your framed photos to the photo frame gallery ",save pictures to your storage space,STORAGE,,,
"Multiple selection of photo to move, delete & copy paste files ",the app can can from the external directory,STORAGE,,,
"download different puzzles and enjoy the fun, Save all puzzles in progress – work on all of them at the same time! Use PAUSE button if you want to see the whole picture, or to save your progress! ",external storage support,STORAGE,,,
Save  your  contacts'  details  to  external  storage  in  vCard  format.,save pictures,STORAGE,,,
"edit your baby photos with frames and text, save them to gallery or share on the social media.",save the picture to your storage of your device,STORAGE,,,
you can download keyboard themes using our app.,download to the storage for offline,STORAGE,,,
Free “Islamic Quotes For Muslims” is a collection of beautiful Islamic quotes Download Islamic Quotes Wallpapers,the app can can use storage permission,STORAGE,,,
download free ringtones for your device.,download and download free ringtone,STORAGE,,,
Uploading a photo with your report also helps the City staff quickly identify the problem,the application can use use storage permission,STORAGE,,,
"Save your verses, chapters and podcasts in the bookmarks option ",download,STORAGE,,,
Save the image to the phone’s gallery using this hair styler app,save the photo to device storage,STORAGE,,,
"• Save news to read later in your own personal reading list, you can also select offline reading for your saved news ",download for offline,STORAGE,,,
"create video clips and save them to the gallery, select video clips from camera roll and add a music.",save pictures to your storage space,STORAGE,,,
"For all tours detailed information is stored:• Key Facts (length, altitude, duration, difficulty)• Detailed descriptions including images ",save pictures to your storage space,STORAGE,,,
"Shoot, save and share short music story ",download for free,STORAGE,,,
"Hurry up, download Photo Filters Color Effects and start the best picture editing of your life ",external storage support,STORAGE,,,
"""Photo Where"" stores pictures in his gallery (PhotoWhereGallery folder on the SD card if present otherwise the phone memory) from which you can easily transfer  to your PC.",save pictures,STORAGE,,,
"Save your art in your phone gallery Images created with Pixel Photo Effects can be saved to your photo library, shared with your friends, set as your wallpaper or shared on any social networking site ",save pictures to your storage space,STORAGE,,,
"Backup  and  restore  contacts,  photos,  videos,  calendars,  texts  and  documents  (including  .doc,  .pdf,  .zip  and  more)  with  a  single  tap.",you can save the contact,STORAGE,,,
Watch stream online or download classes.,download mp3 to your phone storage,STORAGE,,,
you can download free bible quotes wall papers using our app,download,STORAGE,,,
"store and access your pictures, videos ",save pictures to your storage space,STORAGE,,,
"Access your account, place holds, renew items, and select eBooks and audiobooks for download.",download and download,STORAGE,,,
photos are saved in device storage.,save the picture to your storage of your device,STORAGE,,,
The app automatically backup contacts to device storage.,save the photo to device storage,STORAGE,,,
"Download love calculator, put your love to a test and see if he is elected and save the result as image to the gallery.",save pictures to your storage space,STORAGE,,,
"Finish off with your favorite photo effect and filter and you are done! You can store your ""Love scrapbooking"" in your gallery and use it as love wallpaper or share with all your friends on major social networks ",save pictures,STORAGE,,,
"See live satellite location, share your current address, find best routes and save route tracks in history ",external storage support,STORAGE,,,
Download this wallpaper and enjoy the Fun,the app will use storage of your storage,STORAGE,,,
You can download the tours but Preload easily downloaded from the Internet and use offline,download file to your device,STORAGE,,,
"You can download and print it, or you can scan it directly from the screen and save image to gallery. ",save pictures to your storage space,STORAGE,,,
Save your favorite tv shows and episodes,download and download,STORAGE,,,
download best sms ringtones here for free,download ringtone for free,STORAGE,,,
Download Backgrounds (HD wallpapers) to stylize your device's home screen and make it unique,save the picture to your storage of your device,STORAGE,,,
Game data is stored on your device,the app can can from the external directory,STORAGE,,,
"save business card with details, exchange with partners, update card in any time. ",save files to external storage,STORAGE,,,
Get  these  free  music  ringtones  for  Android  ringing  and  free  download  awesome  ringtones  that  will  rock  your  body!,download and download free ringtone,STORAGE,,,
download scary halloween ringtones for free,download ringtone for free,STORAGE,,,
"this app  stores  your  contacts  locally  in  a  compressed  CSA  file  format,  including  profile  images  in  their  original  size. ",save files to external storage,STORAGE,,,
"qr code will be stored, and you can remove all qr code from history. ",save files to your storage of the device storage,STORAGE,,,
sync everything to storage for offline use.,save files to your storage of the device storage,STORAGE,,,
Now  you  can  get  PDF  backup  of  almost  everything,get path from external storage,STORAGE,,,
read  &  write  audio  files  on  your  device.  files  will  be  saved  in  sdcard/media/audio  folder. create new ringtones or delete existing files,this application will use your device storage,STORAGE,,,
"You  can  now  store  any  external  files  attached  to  items  (appointments,  notes,  tasks,  etc.) Backup  EssentialPIM  data  to  your  device  or  to  any  online  service.  Restore  the  backup  data  with  ease  onto  the  existing  or  any  other  Android  device. ",download,STORAGE,,,
"select your favorite ringtones, download them for free ",download ringtone for free,STORAGE,,,
"Save files from dropbox, google drive. Build-in  file  manager  for  opening  projects  from  SD  card  and  internal  storage ",download for offline use,STORAGE,,,
"Take  a  photo  of  your  business  card  -  the  snapADDY  Business  Card  Scanner  recognizes  the  image  section  and  automatically  extracts  a  new  contact  from  it  in  the  app. You  can  also  save  other  attachments,  notes  or  the  photo  of  the  back  of  the  business  card  in  the  app  for  a  later  export.",save pictures to your storage space,STORAGE,,,
download  ringtones  and  mp3  ringtones  for  your  Android  device,download free ringtone,STORAGE,,,
"If  you  are  tired  of  the  old  standard  ringtones  and  SMS  sounds,  download  Quran  Mp3  Ringtones. ",download free ringtone,STORAGE,,,
"Restoring  or  changing  contacts  from  the  spreadsheet  is  as  simple  as  uploading  the  file  to  your  phone  via  USB,  email,  Dropbox,  Google  Drive  or  Box.  It  couldn't  be  easier.",you can save the contact,STORAGE,,,
download ringtones and mp3 ringtones for your Android device,download ringtone for free,STORAGE,,,
Allows  an  application  to  write  to  external  storage.  used  in  application  to  save  Contacts  on  your  phone  as  file.,save the picture to your storage of your device,STORAGE,,,
We  read  user  contact  data  regularly  to  download  video/voicemails  from  your  friends  in  contacts.,download and download,STORAGE,,,
"Ringtone  maker  and  ringtone  downloader  with  “funny  ringtones”, save the ringtones and use them as sms alert, notifications and so on.",download free ringtone,STORAGE,,,
"It  is  meant  to  store  your  phone  contacts  in  a  more  readable  file  so  that  it  can  be  printed  later  on  on  a  Printer,  for  instance.",you can save your contacts to storage of your device,STORAGE,,,
"Cut,  copy,  move,  paste,  delete  multiple  items  using  the  integrated  explorer  of  this  application ",external storage support,STORAGE,,,
you can export your contacts to a local file.,you can save the contact,STORAGE,,,
"Store  your  frequently  used  data,  access  them  instantly  and  utilise  them  efficiently.",save to your device storage,STORAGE,,,
hurry  to  the  market  and  download  this  free  collection  of  “Islamic  ringtones  and  sounds” and download amazing ringtones for free,download and download free ringtone,STORAGE,,,
"The  best  top  songs  can  easily  be  yours  now,  just  hit  the  download  button!",download ringtone for free,STORAGE,,,
"This  app  requires  storage  permission  to  provide  you  some  functionalities  like  hide/unhide  files,  delete and add  files,  share  files  as  per  your  action  taken. ",this application will use your device storage,STORAGE,,,
Download  SMS  Ringtones  and  Sounds  for  Android  app  and  enjoy  the  best  SMS  Ringtones  and  Sounds  for  Android  and  free  message  tones.,download ringtone for free,STORAGE,,,
download these horror ringtones for free and enjoy,download and download free ringtone,STORAGE,,,
READ_EXTERNAL_STORAGE & WRITE_EXTERNAL_STORAGE This permission is necessary because app need read your music file and save ringtone file on sd card,download free ringtone,STORAGE,,,
"Photos files are accessible over USB - photos stored in ""DCIM-KidCamera"" folder in root of phone's external storage ",save pictures to your storage space,STORAGE,,,
Select your photo from gallery or capture new photo Suit,save the picture to your storage or sd card,STORAGE,,,
Two options to save the recorded video data:Option 1: Cache the recorded video data into TF card or phone internal storage by temp files,external storage support,STORAGE,,,
Select a photo from the gallery or take photos using the phone or tablet camera,save pictures to your storage space,STORAGE,,,
Select a photo from the gallery or take photos using the phone or tablet camera,save pictures to your storage space,STORAGE,,,
Share your snowman on Facebook or save as file to use as a card & send to your friends to brag about your snowman,get path from external storage,STORAGE,,,
The database can be on the internal memory or external storage,this application will use your device storage,STORAGE,,,
"Delete useless Android system files, large files and app caches for an instant speed boost ",the app will use storage of your storage,STORAGE,,,
"permission WRITE_EXTERNAL_STORAGE After you save a new Ringtone, the APP need rights to write it to your SD card ",download ringtone for free,STORAGE,,,
Save separate status image and video,save pictures to your storage space,STORAGE,,,
choose a photo from the gallery or take a photo with the camera,save the photos to device or sd card path,STORAGE,,,
Select mp3/music from your mobile or Recordings,get path from external storage,STORAGE,,,
"Manage files in the storage memory, Delete all data from the internal or external storage memory, all of data are un-recoverable ",external storage support,STORAGE,,,
"Access your photos, media, and files on your device  : Used to save and load game play data ",this application will use your device storage,STORAGE,,,
"This app needs this permission to load external ringtones, This app needs this permission to save pictures taken by users who are using the photo mission ",save the photos to device or sd card path,STORAGE,,,
Modify or delete the contents of your USB storage: to delete media files and thumbnails when receiving user action,this application will use your device storage,STORAGE,,,
permission WRITE_EXTERNAL_STORAGE Save the capture photos and videos,save pictures,STORAGE,,,
"Large File function suggest deleting large files to free up storage, organize your storage space better ",get path from external storage,STORAGE,,,
Be able to save different version of your artwork for the same sketch and revisit later!,this application will use your device storage,STORAGE,,,
"Decorate your photos with your Pics then apply the frame that you like and you can save the photo, share with friend ",save the photos to device or sd card path,STORAGE,,,
Permissions that we use: WRITE_EXTERNAL_STORAGE: to store user ringtones,download ringtone for free,STORAGE,,,
Save your delicious creation in your gallery or camera roll,save pictures to your storage space,STORAGE,,,
Save your delicious creation in your gallery or camera roll,save the photo to device storage,STORAGE,,,
View all your photos on the phone,save the photos to device or sd card path,STORAGE,,,
Browse files and folders in storage,the app can can from the external directory,STORAGE,,,
"Large File function suggest deleting large files to free up storage, organize your storage space better ",get path from external storage,STORAGE,,,
It will create amplified versions of them in the Music folder on your SD card (or external storage),download ringtone for free,STORAGE,,,
"Optional permissions Storage: Used to save or load health eating supported information, such as  photos or food photos ",save the photo to device storage,STORAGE,,,
Just a tool for users save their media,save the photos to device or sd card path,STORAGE,,,
"Large File function suggest deleting large files to free up storage, organize your storage space better ",get path from external storage,STORAGE,,,
Select the path to save photos and videos More easy and useful functions are included in this free HD camera app,save to your device storage,STORAGE,,,
"Share: send your robot, chipmunk, nervous or any other through your favorite chat app, save as ringtone, save to gallery, etc ",save pictures,STORAGE,,,
clean junk for more storage space,get path from external storage,STORAGE,,,
"You could compose a memo, take a photo or apply a picture from your gallery and share with others ",save pictures to your storage space,STORAGE,,,
Required Permissions: storage - to save data on phone,this app will use storage permission to save files,STORAGE,,,
"With the image you can save the whole image, share the full image, or just save the image with the removed background ",save the photo to device storage,STORAGE,,,
You can save the audio and use so offline,download ringtone for free,STORAGE,,,
Move your recordings to an SD card and use it a default save location,get path from external storage,STORAGE,,,
SD card storage -- for storing the complementary phone camera pictures on SD card,save the photos to device or sd card path,STORAGE,,,
"Choose Image either from gallery or Camera, Save image to your SD Card ",save the photos to device or sd card path,STORAGE,,,
Permission External storage : save and store your googly selfie,this application will use your device storage,STORAGE,,,
"The photos/media/files permission is required to allow the game to save game data to external storage, and is sometimes used to cache ads ",the app can can from the external directory,STORAGE,,,
"If you are a professional photographer, HD Panorama will allow to save the input frames captured, and stitch and possibly adjust them on your personal computer ",external storage support,STORAGE,,,
Save and view map images for the later reference by using included file explorer and image/text viewer,download for offline use,STORAGE,,,
While you can preview events in the a Calendar Store app you need to purchase a yearly subscription to sync to your Android calendars (free 60 minute test available),add add add event to the calendar,CALENDAR,,,
"Contacts/Calendar, so Offi can route you to your contacts or location from a calendar event, store a connection in your calendar or e-mail it to your friends ",access calendar,CALENDAR,,,
"Contacts/Calendar, so Offi can route you to your contacts or location from a calendar event, store a connection in your calendar or e-mail it to your friends ",this application use read contact,CONTACT,,,
Select mp3/music from your mobile or recordings,support microphone,MICROPHONE,,,
You can even record live audio and this MP3 editor can edit and trim the best parts from it,start listening the app uses microphone,MICROPHONE,,,
You can even record live audio and this MP3 editor can edit and trim the best parts from it,record microphone microphone,MICROPHONE,,,
Make your note/diary awesome with images/videos/audios,you can record record start record using microphone and microphone,MICROPHONE,,,
Make your note/diary awesome with images/videos/audios,the app microphone permission,MICROPHONE,,,
It is a smart sound recorder,external microphone and microphone,MICROPHONE,,,
You can use the microphone to test the words in the image,external microphone support,MICROPHONE,,,
"Can record video and take pictures in the background, even turn off screen ",the application uses microphone of your microphone,MICROPHONE,,,
This application needs to access the microphone to get the pitch you are playing or singing,set set audio with device microphone and microphone,MICROPHONE,,,
Record your voice using the built-in microphone,you can record to use use use the microphone,MICROPHONE,,,
Record an audio/music for editing,the app use microphone permission,MICROPHONE,,,
The sound meter app uses your microphone to measure noise volume in decibels(dB),the app set set audio of the microphone of your microphone,MICROPHONE,,,
"Change your voice in real-time after recording -- this voice processor makes your voice sound like a robot, an alien, a baby and many more ",this app start to start listening microphone to your microphone,MICROPHONE,,,
"Change your voice in real-time after recording -- this voice processor makes your voice sound like a robot, an alien, a baby and many more ",the app suse microphone permission to record,MICROPHONE,,,
HD Video recording,external microphone support,MICROPHONE,,,
Permission to record with microphone for visualization,you can use the microphone and microphone,MICROPHONE,,,
"This is required if your program uses the camera, Bluetooth, audio record, etc ",the app use microphone permission,MICROPHONE,,,
"Owing that performance of the microphone will be different for each device, so calibration is needed before use ",the app use microphone permission,MICROPHONE,,,
Sound detection mode,support microphone,MICROPHONE,,,
It can record audio from mic as well during screen record,the application uses microphone of your microphone,MICROPHONE,,,
"On Android, your child can view pictures, practice pronunciation compared to recording, learn pictures, and play a memory game ",the application uses microphone,MICROPHONE,,,
A very straightforward app that simply transcribes what's spoken to it,you can can record using the device microphone,MICROPHONE,,,
"Displays sound as a stream of color (live, microphone input) ",the app uses microphone of your microphone,MICROPHONE,,,
Speak; record and listen your words,the app use microphone permission to record,MICROPHONE,,,
Record some fun words or phrases,set set audio with device microphone and microphone,MICROPHONE,,,
"Easily raise your voice by singing or whistling while your draw, and watch the brush gets thicker or thinner, depends on how loud you are ",the app uses microphone of your microphone,MICROPHONE,,,
Record directly from your Android device,record microphone support,MICROPHONE,,,
This app plays the sound from the devices microphone through the headphones with a configureable delay,the app use microphone permission to record,MICROPHONE,,,
SoundCheck evaluates your phone's audio capabilities for playback and recording,support microphone,MICROPHONE,,,
Display any sort of audio from the microphone as a coloured spectrogram,start listening the app uses microphone,MICROPHONE,,,
So funny recorder you will not stop recording yourself,this application use microphone,MICROPHONE,,,
"Change your voice in real-time after recording this voice processor makes your voice sound like a robot, an alien, a baby and many more ",record use microphone and microphone,MICROPHONE,,,
record sound from microphone,this app uses microphone permission to record,MICROPHONE,,,
"Record videos or take photos, is up to you ",the application uses microphone of your microphone,MICROPHONE,,,
"HD filters Camera  is a fully-featured free Camera app, with Quick Snap and HD videos ",external microphone and microphone,MICROPHONE,,,
The most technically advanced call recorder,you can use the microphone and microphone,MICROPHONE,,,
Record your own sounds / voice and combine them into one big symphony with this looper / loop station,this app record microphone to your microphone,MICROPHONE,,,
Both the microphone and the speakers can serve as audio input for the relevant patterns,the app use your microphone and microphone,MICROPHONE,,,
The application is suitable for practicing sounds in words and sentences,the application uses microphone,MICROPHONE,,,
The program will record your voice and then you can compare your pronunciation with a native speaker,you can can record using the device microphone,MICROPHONE,,,
Voice Command Mode: take photo by voice command,this application uses audio from your microphone,MICROPHONE,,,
Instant voice record playback,set set audio with device microphone and microphone,MICROPHONE,,,
"The sound recorder provides extra-long recordable time, and you can suspend the recording at any time ",the application uses microphone of your microphone,MICROPHONE,,,
the app uses gps to identify your location and also allows you to snap a photo or video to add to your service request,the app use your location gps,LOCATION,,,
access your location to provide ad service,access location and location gps,LOCATION,,,
access your current location to get nearby car rental positions,the app use your location and your location,LOCATION,,,
get gps location details,the app use your gps,LOCATION,,,
"access vehicle location, speed ",this app use your location gps and speed,LOCATION,,,
location: to help you find trips near you and providing maps,access location and location gps gps data,LOCATION,,,
all the messages are displayed on a live map with the exact location that they were sent,the app use location and location gps and your location,LOCATION,,,
"feature supported by the precise location via gps, the position of the employees can be easily followed ",this app use location gps to record your location,LOCATION,,,
share your location with a checkin and see friends nearby,access your location gps,LOCATION,,,
access your current location and get weather forcast.,access location and location gps,LOCATION,,,
"in the application, you will find the locations of attractions, shows, restaurants, shops and services, navigate to the park plan ",the app use your location,LOCATION,,,
real-time location tracking for field workers,this app use your location gps to record location,LOCATION,,,
access your location  part of the maps/gps functionality,access location and location gps,LOCATION,,,
remember to activate push notifications and geolocation,app use your location,LOCATION,,,
find near-by properties by geo-location requires gps enabled device,access location and location gps,LOCATION,,,
"display your current location, and share your current location on social network. ",this application use location permission,LOCATION,,,
find a safeway pharmacy near you by entering your zip code or using your current location,access location and location,LOCATION,,,
customize the weather forecast for your community and other locations that interest you+ receive severe weather alerts at your location,this app use location and location gps,LOCATION,,,
location information is used for location based searches,access location and gps,LOCATION,,,
share your location,access your location and gps data,LOCATION,,,
share your location,the app use your location and location gps to record location,LOCATION,,,
"the location of each post, photo and video posted is logged via gps and made available to other runners to join in on the fun!",this app use location gps to record your location,LOCATION,,,
find nearest vital locations,access location and location gps,LOCATION,,,
app connects the drivers around your current location,the app use your location and gps,LOCATION,,,
"location based mute, turn the sound off when you go to the cinema or church ",this app will use location permission,LOCATION,,,
"along with navigation on the app, you can also find locations of different places around you ",access location and location gps,LOCATION,,,
get the location when you take the picture,access location and location information,LOCATION,,,
"view the itinerary or event interactive maps with geo location and calculate routes to reach the points indicated in the different modes: auto, pedestrian or bike from your location ",the app use your location and location gps and distance,LOCATION,,,
"the app is location-based and real-time, offering a map-based interface to the data available and the air quality in your neighbourhood ",this app uses location gps,LOCATION,,,
location or the gps tracking function enable routing to and from the current location,the app use location gps to record your location,LOCATION,,,
get your current location,access location and location gps,LOCATION,,,
access your current location,this application uses location permission,LOCATION,,,
"gps location is shown on maps during office hours, know where your staff is ",access location gps to record your location,LOCATION,,,
see what's happening on your routes or around your current location,access your location and your location gps,LOCATION,,,
update car location,this app use gps data,LOCATION,,,
easily choose your locations to get hourly conditions and 7-day weather forecasts,access location and location gps gps data,LOCATION,,,
"the app can detect your location, turn light on when your almost at home ",the app use your location gps and get distance,LOCATION,,,
application features: geolocation,this app uses location gps,LOCATION,,,
tap on map icon on cinema list to get it's exact location,this app uses your location gps and distance,LOCATION,,,
find nearby restaurants based on your current location,access location and location gps gps data,LOCATION,,,
live tracking stream your location,the app uses location gps to record your location,LOCATION,,,
places gallery makes your picture browsing experience easier by auto grouping your photos by location,the application uses location information,LOCATION,,,
"through an interactive map system that detects your location providing not only the nearest stops, but all the lines that pass through each one of them ",access location and location,LOCATION,,,
location permission is required to deliver more relevant ads for players,this app uses location gps,LOCATION,,,
this app uses location services to display guests’ position on the map,this app uses location gps,LOCATION,,,
track gps based activities,this application uses location permission,LOCATION,,,
automatic location using gps with automatic update,access location and location gps,LOCATION,,,
use your location to automatically take useful actions while you're out,the app uses location gps to record your location,LOCATION,,,
track vehicle locations,access location and location gps gps data,LOCATION,,,
save and track fishing locations- find saved locations with gps navigation system,the app uses gps,LOCATION,,,
track your gps location information,the app uses location gps to record your location,LOCATION,,,
receive and update drive location,this app use gps,LOCATION,,,
get your current location and send it via sms,the app uses location and your location gps,LOCATION,,,
bus tracking - know the exact location of the bus in which your child is travelling in real time on a map,access location and location,LOCATION,,,
premium navigation features turn-by-turn voice directions find places save and edit favorites locations  current location information,this app uses your location gps and distance,LOCATION,,,
stay connected to local news,access location and location gps,LOCATION,,,
get real time location,access location and gps data,LOCATION,,,
get your taxi with a click and using gps,the app uses gps,LOCATION,,,
find atms or bank branches closest to your location on the map,this app use your location and gps,LOCATION,,,
"search for cafes, restaurants, theatres and even hospitals with carefully organized location data ",the app uses your location and location gps gps gps,LOCATION,,,
find your nearest tcby location,access location and gps data,LOCATION,,,
we use geolocation so you don't have to enter your address,access location and gps data,LOCATION,,,
displays your exact location,this app use your gps data,LOCATION,,,
Employee location tracking: track gps location,the app uses location gps to record your location,LOCATION,,,
"Securely backs up contacts, messages, call logs to Bkav Cloud or SD Card ",the app read contacts to read contacts save contacts,CONTACT,,,
read sent and received SMS messages,app can read your contact,CONTACT,,,
"app can help you manage ringtone of contacts , assign different ringtone to each contact ",the application use contact permission,CONTACT,,,
"Save as Ringtone/Music/Alarm/Notification, or assign it to a contact ",the app read contacts to set contact ringtone,CONTACT,,,
"Set the new clip as default ringtone or assign to contacts, using this editor ",this application uses read contact,CONTACT,,,
Customize specific tunes for individual contacts or allow the app to set randomized tunes from your playlist for all outgoing calls,the app use use read contact permission,CONTACT,,,
assign ringtones to your contacts,the application use contact permission,CONTACT,,,
Mark important calls and filter them for quick access;- Call back and open contacts right from the app,the app read contacts to read contacts,CONTACT,,,
"If you share a contact, a vCard will be generated on the fly ",the app can save contacts,CONTACT,,,
Make your life simple by scanning cost documents,the app use your camera of your camera,CAMERA,,,
The smartphone camera captures a picture through single vision or progressive lenses and the app computes the refractive data in seconds,open camera to take photo,CAMERA,,,
"Go ahead, take a Picture alone or accompanied and place within the selected background ",take pictures with camera and your camera,CAMERA,,,
"Quickly measure the heights of buildings, trees, stomp rocket flights, etc, by first pointing the camera at the objects ",this app uses camera permission,CAMERA,,,
With LiveTrip Traveller you can send live messages and photos during every journey via 3G/4G/WIFI,take photo or video with camera,CAMERA,,,
Barcode scanner,this application can use camera of your camera,CAMERA,,,
The Sasbadi Annual Report 2016 app enables readers to experience features of Sasbadi's annual report in Augmented Reality (AR)enjoy Sasbadi's in-house AR technology,take camera to take the camera,CAMERA,,,
Use our app to scan the barcode and order from your phone,this app use your camera of your camera,CAMERA,,,
Use our app to scan the barcode and order from your phone,this app use your camera of your camera,CAMERA,,,
Signature and image capture Bar codes,the app uses camera permission,CAMERA,,,
"scan functionality for QR-codes, scan QR-Codes on the visitor badges and import this data in your contacts ",open camera you can use camera to scan,CAMERA,,,
Create a phenomenal collage out of your private photos If you are a person who takes a lot of pictures and likes making selfies,take camera to take the camera,CAMERA,,,
Start scanning your tickets today with ScanFastInstall the app to turn your Android device into a fully functional ticket scanneryou'll be ready to verify barcodes on all types of tickets for your events,the app uses camera of your camera,CAMERA,,,
Voice and video calls to mobile devices and computers,the app uses camera permission,CAMERA,,,
"Bring LumiSpa to life with this cool augmented reality appscan a LumiSpa AR image, and watch as a 3D projection of the new ageTry snapping photos or recording video of you “using” your new digital device—all in the app!",open camera to take photo,CAMERA,,,
Take new photos of receipts or choose existing photos,open camera to take photo,CAMERA,,,
Anarkali Dress Photo Suit is photography application to set different Anarkali Dress on your face by live capturing OR per-captured photos,the app uses camera of your camera,CAMERA,,,
you can record this lecture or take some pictures or even adding notes or taking some videos,take pictures with device camera and camera,CAMERA,,,
"Users have one identify across all services, voice, video and Instant Messaging & PresenceVoice and video calls are enhanced with the highest quality voice ",you can use your camera to start video call,CAMERA,,,
Automatic scan of voucher's QR code,use use the camera to scan and scan,CAMERA,,,
Login via QR CodeLogin effortlessly by scanning the QR code,the app use use the camera permission,CAMERA,,,
Flashlight on call is a free to download smart app which will blink flash light on callEven when your mobile mobile is in silent mode you will be intimated about a call through flashlight blink by using this flashlight on call,the app uses camera permission to use camera flash light of camera,CAMERA,,,
Take or upload a picture of a receipt and submit for a new or existing claim,take pictures using device camera,CAMERA,,,
Place it over photo from gallery or shot a new one,open camera to take picture or video,CAMERA,,,
"take a photo or select from image galleryOpen this latest photo face changer on your smartphone, select picture from your image gallery or capture a new selfie",take pictures with camera and camera,CAMERA,,,
AR Christmas app lets you experience the season of love through Augmented RealityIt makes the traditional Christmas card comes alive,this app uses camera permission to use camera,CAMERA,,,
"The app allows you the parent our caregiver to capture imagesYou simply take a picture of an object, place, or person and apply the appropriate text ",take pictures with camera and your camera,CAMERA,,,
"Collage Art brings you a variety of awesome features to help you create beautiful works of art from your photosUse a wide range of features and effects to spice up your picturesAdd emoji face stickers, love stickers, friendship stickers and more! ",you can can take photos using camera,CAMERA,,,
QR code scanner and passcode features to easily connect with new communities and events,the application use contact permission,CAMERA,,,
"You can make a video call for free with the most used face call apps such as Whatsapp, Messenger, Skype, Bigo Live, Imo, Kik, Tango, Viber, etc ",this app uses camera permission,CAMERA,,,
also allows you to snap a photo to add to your service request,take pictures with device camera and camera,CAMERA,,,
"You simply snap a picture, enter a few details and you’re doneJust snap a picture and sell it on Pxsell ",open camera to take picture or video,CAMERA,,,
QR code verification tool for Folio,use camera to use you can scan qr code using camera,CAMERA,,,
Deploy services on new computers by simply scanning a QR code with this app on the local computer,you can use camera to scan the camera using your camera,CAMERA,,,
Take a beautiful selfie of you or Choose a photo of anyone else you want from gallery,open camera to take photo,CAMERA,,,
20+ well-designed video styles for you to edit and record unique moment,this app uses camera permission,CAMERA,,,
The app allows you to scan a QR code that matches a label for your business,the app uses camera permission to scan camera,CAMERA,,,
KalTicket Pro allows your ticket salesperson to scan tickets with QR code at the entrance of cinemas or theaters,open camera you can use camera to scan,CAMERA,,,
It is an easy and fun way to enhance your personal photos and Changer yourself in dancer,save photo to gallery,CAMERA,,,
